Event Title,Location,Event State,Event Duration,Time Left,Registered Count,Theme,Event URL
ADES Project Showcase AY2122S2,"Singapore Polytechnic, SoC",open,"Dec 20, 2021 - Feb 04, 2022",28 days left,3,"['Open Ended', 'Web']",https://ades-ay2122s2.devpost.com/
Local Hack Day: Build 2022,Online,upcoming,"Jan 09 - 16, 2022",Upcoming,462,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://lhd-build-2022.devpost.com/
Hack The League,Online,upcoming,"Feb 12 - 13, 2022",Upcoming,411,"['Social Good', 'Beginner Friendly', 'Open Ended']",https://hack-the-league.devpost.com/
DeveloperWeek 2022 Hackathon,Online,upcoming,"Jan 24 - Feb 08, 2022",Upcoming,200,"['Enterprise', 'Fintech', 'IoT']",https://developerweek-2022-hackathon.devpost.com/
Hoya Hacks 2022,Online,upcoming,"Jan 28 - 30, 2022",Upcoming,176,"['Open Ended', 'Beginner Friendly', 'Social Good']",https://hoya-hacks-2022.devpost.com/
Unlock Hacks,Online,upcoming,"Jan 07 - 09, 2022",Upcoming,124,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://unlock-hacks.devpost.com/
StarHacks II,Online,upcoming,"Jan 22 - 23, 2022",Upcoming,103,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://starhacks-2.devpost.com/
Kurinji Hacks,Online,upcoming,"Feb 11 - 13, 2022",Upcoming,86,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://kurinji-hacks.devpost.com/
Launchology Vision,Online,upcoming,"Jan 29 - 30, 2022",Upcoming,70,"['Design', 'Machine Learning/AI', 'Open Ended']",https://launchology-vision.devpost.com/
HSS Hacks,Online,upcoming,"Mar 04 - 06, 2022",Upcoming,63,"['Beginner Friendly', 'Gaming', 'Open Ended']",https://hss-hacks.devpost.com/
Yale CBIT Healthcare Hackathon,Online,upcoming,"Jan 28 - 30, 2022",Upcoming,58,"['Health', 'Blockchain']",https://cbit-healthcare-hackathon.devpost.com/
Hack the Map 5,Esri HQ,upcoming,"Jan 10 - 18, 2022",Upcoming,51,"['Beginner Friendly', 'Enterprise', 'Social Good']",https://hack-the-map-5.devpost.com/
Coding Your Future Hackathon,Online,upcoming,"Jan 14 - 16, 2022",Upcoming,50,"['Beginner Friendly', 'Health', 'Social Good']",https://coding-your-future-hackathon.devpost.com/
StuyHacks XI,Online,upcoming,"Jan 15 - 16, 2022",Upcoming,47,['Beginner Friendly'],https://stuyhacks-xi.devpost.com/
HackViolet 2022,Online,upcoming,"Feb 05 - 06, 2022",Upcoming,41,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://hackviolet22.devpost.com/
MCIT 2022 Winter Hackathon,Penn Engineering,upcoming,"Jan 14 - 17, 2022",Upcoming,34,['Open Ended'],https://mcit-2022-winter-hackathon.devpost.com/
U HACK ;,Online,upcoming,"Jan 22 - 23, 2022",Upcoming,34,"['Enterprise', 'Mobile', 'Web']",https://u-hack.devpost.com/
JSC Hack 2021,The Ion,upcoming,"Jan 28 - 30, 2022",Upcoming,33,"['Beginner Friendly', 'Low/No Code', 'Open Ended']",https://jsc-hack2021.devpost.com/
Blue-Cloud Hackathon,Online,upcoming,"Feb 07 - 08, 2022",Upcoming,27,"['Education', 'Social Good', 'Machine Learning/AI']",https://blue-cloud-hackathon.devpost.com/
TechTogether Atlanta,Online,upcoming,"Jan 28 - 30, 2022",Upcoming,26,"['Beginner Friendly', 'Low/No Code', 'Social Good']",https://techtogether-atlanta-22.devpost.com/
AR Theater Hackathon,WERKRAUM Göttingen,upcoming,"Aug 05 - 07, 2022",Upcoming,25,"['AR/VR', 'Music/Art', 'Social Good']",https://theaterhackathon.devpost.com/
SheHacks+ 6,Online,upcoming,"Jan 07 - 09, 2022",Upcoming,24,['Education'],https://shehacks-vi.devpost.com/
"Cue Sheet Palooza Music Hackathon - Toronto, Canada",TBD,upcoming,"Feb 26 - 27, 2022",Upcoming,17,"['Fintech', 'Music/Art', 'Productivity']",https://cue-sheet-palooza.devpost.com/
µHacks,Online,upcoming,"Jan 21 - 23, 2022",Upcoming,15,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://microhacks.devpost.com/
VC Hacks,Online,upcoming,"Jan 28 - 30, 2022",Upcoming,15,['Beginner Friendly'],https://vc-hacks2021.devpost.com/
FutureHacks Four 2022,Online,upcoming,"Apr 08 - 10, 2022",Upcoming,15,"['Beginner Friendly', 'Social Good', 'Education']",https://futurehacks4.devpost.com/
Hopeathon Hawaii 2022,Register: 7/1-8/31 --- Compete: 9/1-12/4,upcoming,"Jul 01 - Sep 01, 2022",Upcoming,15,"['Gaming', 'Social Good', 'Education']",https://hopeathon.devpost.com/
byteKode 2 - It's Getting Kold ❄️Outside,Online,upcoming,"Jan 14 - 17, 2022",Upcoming,12,"['Beginner Friendly', 'COVID-19', 'Social Good']",https://bytekode2.devpost.com/
TechTogether Miami,Online,upcoming,"Feb 11 - 13, 2022",Upcoming,12,"['Beginner Friendly', 'Low/No Code', 'Social Good']",https://techtogether-miami.devpost.com/
GunnHacks 8.0,Online,upcoming,"Feb 05 - 06, 2022",Upcoming,10,"['Beginner Friendly', 'Open Ended']",https://gunnhacks8.devpost.com/
CornHacks 2022,J. Carson Center for Emerging Media Arts,upcoming,"Jan 22 - 23, 2022",Upcoming,9,"['Beginner Friendly', 'Open Ended']",https://cornhacks-2022.devpost.com/
TechTogether Chicago,Online,upcoming,"Feb 25 - 27, 2022",Upcoming,8,"['Beginner Friendly', 'Education', 'Social Good']",https://techtogether-chicago.devpost.com/
Philly Codefest 2022,Drexel University CCI,upcoming,"Apr 04 - 09, 2022",Upcoming,8,"['Beginner Friendly', 'IoT', 'Social Good']",https://philly-codefest-2022.devpost.com/
HackSonr 2022 @ MHW,Versace Villa,upcoming,"Jan 23 - 29, 2022",Upcoming,7,"['Blockchain', 'Mobile', 'Productivity']",https://hacksonr2022.devpost.com/
IIT Bombay UpGrad Campus Product Hackathon,Online,upcoming,"Jan 11 - 19, 2022",Upcoming,5,"['Education', 'Social Good']",https://iitb-upgrad-product-hackathon.devpost.com/
nwHacks 2022,Online,upcoming,"Jan 15 - 16, 2022",Upcoming,4,['Open Ended'],https://nwhacks-2022.devpost.com/
Black Wings Hack 2022,Online,upcoming,"Feb 04 - 06, 2022",Upcoming,4,['Social Good'],https://black-wings-hack-2022-14372.devpost.com/
HooHacks 2022,University of Virginia School Grounds,upcoming,"Mar 26 - 27, 2022",Upcoming,4,"['Beginner Friendly', 'Education', 'Social Good']",https://hoohacks-2022.devpost.com/
AmritaFix,Online,upcoming,"Jan 08 - 09, 2022",Upcoming,3,"['Education', 'Open Ended', 'Productivity']",https://amritafix.devpost.com/
UTD HackReason 2022,Online,upcoming,"Jan 14 - 15, 2022",Upcoming,3,"['Education', 'Machine Learning/AI']",https://utd-hackreason-2022.devpost.com/
Helyx USA Hacks,Online,upcoming,"Feb 03 - 10, 2022",Upcoming,3,"['Beginner Friendly', 'Education', 'Open Ended']",https://helyx-usa-hacks.devpost.com/
Creatica 2022,Online,upcoming,"Apr 29 - May 01, 2022",Upcoming,2,"['Beginner Friendly', 'Machine Learning/AI', 'Social Good']",https://creatica2022.devpost.com/
PyJaC: Rebooted ,Online,upcoming,"Jan 15 - 22, 2022",Upcoming,1,['Beginner Friendly'],https://pyjac-rebooted.devpost.com/
HopperHacks 2022,Online,upcoming,"Feb 12, 2022",Upcoming,1,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://hopperhacks2022.devpost.com/
Shooting Stars All Girls Hackathon,Online,upcoming,"Feb 19 - 20, 2022",Upcoming,1,"['Beginner Friendly', 'Open Ended', 'Social Good']",https://ssf-all-girls-hackathon.devpost.com/
LexHack 2021,Online,upcoming,"Mar 24, 2022 - Feb 10, 2024",Upcoming,1,"['Beginner Friendly', 'Open Ended']",https://lexhack2021.devpost.com/
