Name,Location,Event State,Event Duration,Time Left,Theme,Registered Count,Event hosted by,Event URL
Hoya Hacks 2022,Online,upcoming,"Jan 28 - 30, 2022",Upcoming,"['Open Ended', 'Beginner Friendly', 'Social Good']",194,Hoya Hacks,https://hoya-hacks-2022.devpost.com/
StarHacks II,Online,upcoming,"Jan 22 - 23, 2022",Upcoming,"['Beginner Friendly', 'Open Ended', 'Social Good']",111,StarHacks,https://starhacks-2.devpost.com/
Kurinji Hacks,Online,upcoming,"Feb 11 - 13, 2022",Upcoming,"['Beginner Friendly', 'Open Ended', 'Social Good']",89,Superposition Chennai,https://kurinji-hacks.devpost.com/
Launchology Vision,Online,upcoming,"Jan 29 - 30, 2022",Upcoming,"['Machine Learning/AI', 'Open Ended', 'Beginner Friendly']",75,Launchology,https://launchology-vision.devpost.com/
Coding Your Future Hackathon,Online,upcoming,"Jan 14 - 16, 2022",Upcoming,"['Beginner Friendly', 'Social Good', 'Open Ended']",68,Coding Your Future,https://coding-your-future-hackathon.devpost.com/
Yale CBIT Healthcare Hackathon,Online,upcoming,"Jan 28 - 30, 2022",Upcoming,"['Health', 'Blockchain']",67,yale university ,https://cbit-healthcare-hackathon.devpost.com/
HSS Hacks,Online,upcoming,"Mar 04 - 06, 2022",Upcoming,"['Beginner Friendly', 'Gaming', 'Open Ended']",65,handsworth coding club,https://hss-hacks.devpost.com/
StuyHacks XI,Online,upcoming,"Jan 15 - 16, 2022",Upcoming,['Beginner Friendly'],63,StuyHacks,https://stuyhacks-xi.devpost.com/
Hack the Map 5,Esri HQ,upcoming,"Jan 10 - 18, 2022",Upcoming,"['Beginner Friendly', 'Enterprise', 'Social Good']",59,ESRI,https://hack-the-map-5.devpost.com/
HackViolet 2022,Online,upcoming,"Feb 05 - 06, 2022",Upcoming,"['Beginner Friendly', 'Open Ended', 'Social Good']",49,Association for Women in Computing,https://hackviolet22.devpost.com/
U HACK ;,Online,upcoming,"Jan 22 - 23, 2022",Upcoming,"['Enterprise', 'Mobile', 'Web']",41,UQODE,https://u-hack.devpost.com/
MCIT 2022 Winter Hackathon,Penn Engineering,upcoming,"Jan 14 - 17, 2022",Upcoming,['Open Ended'],36,CIT59x,https://mcit-2022-winter-hackathon.devpost.com/
JSC Hack 2021,The Ion,upcoming,"Jan 28 - 30, 2022",Upcoming,"['Beginner Friendly', 'Low/No Code', 'Open Ended']",36,NASA,https://jsc-hack2021.devpost.com/
TechTogether Atlanta,Online,upcoming,"Jan 28 - 30, 2022",Upcoming,"['Beginner Friendly', 'Low/No Code', 'Social Good']",31,TechTogether,https://techtogether-atlanta-22.devpost.com/
Blue-Cloud Hackathon,Online,upcoming,"Feb 07 - 08, 2022",Upcoming,"['Education', 'Social Good', 'Machine Learning/AI']",31,blue cloud,https://blue-cloud-hackathon.devpost.com/
AR Theater Hackathon,WERKRAUM Göttingen,upcoming,"Aug 05 - 07, 2022",Upcoming,"['AR/VR', 'Music/Art', 'Social Good']",27,XHACK Innovation & Technology Group,https://theaterhackathon.devpost.com/
µHacks,Online,upcoming,"Jan 21 - 23, 2022",Upcoming,"['Beginner Friendly', 'Open Ended', 'Social Good']",22,µHacks,https://microhacks.devpost.com/
byteKode 2 - It's Getting Kold ❄️Outside,Online,upcoming,"Jan 14 - 17, 2022",Upcoming,"['Beginner Friendly', 'COVID-19', 'Social Good']",17,byteKode - Student Run,https://bytekode2.devpost.com/
"Cue Sheet Palooza Music Hackathon - Toronto, Canada",TBD,upcoming,"Feb 26 - 27, 2022",Upcoming,"['Fintech', 'Music/Art', 'Productivity']",17,Screen Composers Guild of Canada & SOCAN,https://cue-sheet-palooza.devpost.com/
VC Hacks,Online,upcoming,"Jan 28 - 30, 2022",Upcoming,['Beginner Friendly'],16,Ventura College CS Club,https://vc-hacks2021.devpost.com/
FutureHacks Four 2022,Online,upcoming,"Apr 08 - 10, 2022",Upcoming,"['Beginner Friendly', 'Social Good', 'Education']",16,AiGo Learning,https://futurehacks4.devpost.com/
Hopeathon Hawaii 2022,Register: 7/1-8/31 --- Compete: 9/1-12/4,upcoming,"Jul 01 - Sep 01, 2022",Upcoming,"['Gaming', 'Social Good', 'Education']",15,Holy Nativity Church,https://hopeathon.devpost.com/
GunnHacks 8.0,Online,upcoming,"Feb 05 - 06, 2022",Upcoming,"['Beginner Friendly', 'Open Ended']",14,Henry M. Gunn High School,https://gunnhacks8.devpost.com/
TechTogether Miami,Online,upcoming,"Feb 11 - 13, 2022",Upcoming,"['Beginner Friendly', 'Low/No Code', 'Social Good']",13,TechTogether,https://techtogether-miami.devpost.com/
TechTogether Chicago,Online,upcoming,"Feb 25 - 27, 2022",Upcoming,"['Beginner Friendly', 'Social Good', 'Low/No Code']",11,TechTogether,https://techtogether-chicago.devpost.com/
CornHacks 2022,J. Carson Center for Emerging Media Arts,upcoming,"Jan 22 - 23, 2022",Upcoming,"['Beginner Friendly', 'Open Ended']",10,CornHacks,https://cornhacks-2022.devpost.com/
IIT Bombay UpGrad Campus Product Hackathon,Online,upcoming,"Jan 11 - 19, 2022",Upcoming,"['Education', 'Social Good']",9,iit bombay,https://iitb-upgrad-product-hackathon.devpost.com/
HackSonr 2022 @ MHW,Versace Villa,upcoming,"Jan 23 - 29, 2022",Upcoming,"['Blockchain', 'Mobile', 'Productivity']",8,Sonr,https://hacksonr2022.devpost.com/
Philly Codefest 2022,Drexel University CCI,upcoming,"Apr 04 - 09, 2022",Upcoming,"['Beginner Friendly', 'IoT', 'Social Good']",8,Drexel University CCI,https://philly-codefest-2022.devpost.com/
UTD HackReason 2022,Online,upcoming,"Jan 14 - 15, 2022",Upcoming,"['Education', 'Machine Learning/AI']",5,Artificial Intelligence Society,https://utd-hackreason-2022.devpost.com/
nwHacks 2022,Online,upcoming,"Jan 15 - 16, 2022",Upcoming,['Open Ended'],5,nwPlus,https://nwhacks-2022.devpost.com/
HooHacks 2022,University of Virginia School Grounds,upcoming,"Mar 26 - 27, 2022",Upcoming,"['Beginner Friendly', 'Education', 'Social Good']",5,HooHacks,https://hoohacks-2022.devpost.com/
Black Wings Hack 2022,Online,upcoming,"Feb 04 - 06, 2022",Upcoming,['Social Good'],4,Rewriting The Code,https://black-wings-hack-2022-14372.devpost.com/
Helyx USA Hacks,Online,upcoming,"Feb 03 - 10, 2022",Upcoming,"['Beginner Friendly', 'Education', 'Open Ended']",4,The Helyx Initiative,https://helyx-usa-hacks.devpost.com/
HopperHacks 2022,Online,upcoming,"Feb 12, 2022",Upcoming,"['Beginner Friendly', 'Open Ended', 'Social Good']",3,Women in Computer Science,https://hopperhacks2022.devpost.com/
Shooting Stars All Girls Hackathon,Online,upcoming,"Feb 19 - 20, 2022",Upcoming,"['Beginner Friendly', 'Open Ended', 'Social Good']",2,Shooting Stars Foundation,https://ssf-all-girls-hackathon.devpost.com/
Creatica 2022,Online,upcoming,"Apr 29 - May 01, 2022",Upcoming,"['Beginner Friendly', 'Machine Learning/AI', 'Social Good']",2,creatica,https://creatica2022.devpost.com/
PyJaC: Rebooted ,Online,upcoming,"Jan 15 - 23, 2022",Upcoming,['Beginner Friendly'],1,UTMPC/MCSS/WiSC,https://pyjac-rebooted.devpost.com/
ESE292S22,Online,upcoming,"Mar 01 - May 06, 2022",Upcoming,['Design'],1,university of pennsylvania,https://ese292s22.devpost.com/
LexHack 2021,Online,upcoming,"Mar 24, 2022 - Feb 10, 2024",Upcoming,"['Beginner Friendly', 'Open Ended']",1,default,https://lexhack2021.devpost.com/
